,Company,Industry,Cluster Total Emissions Based on 2016-2020 LOG(AVG),2016-2020 AVG CO2 Emissions Intensity (emissions) / ($B operating costs),LOG(2016-2020 AVG CO2 Emissions Intensity (emissions) / ($B operating costs)),Cluster Emissions Intensity Based on 2016-2020 LOG(AVG),Emissions,Financials,Unnamed: 10
86,nordstrom,Consumer Discretionary,3 ~520047 tons,18913.067858284663,4.276761980767777,3 ~21168 tons per dollar,Y,Y,
87,northrop grumman corporation,Industrials,3 ~520047 tons,23127.367998212045,4.364126210855644,3 ~21168 tons per dollar,Y,Y,
88,nvidia,Information technology,1 ~34056 tons,16723.396628445153,4.223324490039349,3 ~21168 tons per dollar,Y,Y,
89,oracle,Information technology,3 ~520047 tons,15515.522990772875,4.190766419184037,3 ~21168 tons per dollar,Y,Y,
90,Pepsico,"Consumer Staples (Food, etc.)",5 ~10089589 tons,89862.30242879015,4.953577541781026,4 ~54241 tons per dollar,Y,Y,
91,Procter & Gamble,Materials,5 ~10089589 tons,88468.1879045509,4.946787131701051,4 ~54241 tons per dollar,Y,Y,
92,Raytheon,Industrials,3 ~520047 tons,19594.02439309193,4.292123644377288,3 ~21168 tons per dollar,Y,Y,
93,"Rand-Whitney, Kraft Group (no data)",,#NUM!,,,#NUM!,N,N,
94,regal beloit (2017-2020),Industrials,3 ~520047 tons,147824.05693714638,5.169745117041684,5 ~218440 tons per dollar,Y,Y,
95,Rio Tinto,Materials,6 ~84178136 tons,1007835.1050824928,6.003389481701915,6 ~1942501 tons per dollar,Y,Y,
96,saint-gobain,Industrials,5 ~10089589 tons,278617.78875115846,5.445008841125412,5 ~218440 tons per dollar,Y,Y,
97,salesforce,Information technology,2 ~145504 tons,21054.382750695026,4.323342513773547,3 ~21168 tons per dollar,Y,Y,
98,samsung,Information technology,5 ~10089589 tons,76317.36319220586,4.882623356836796,4 ~54241 tons per dollar,Y,Y,
99,schlumberger (2016-2019),Energy,4 ~2132511 tons,61110.46032387558,4.786115555121661,4 ~54241 tons per dollar,Y,Y,
100,ses (2016-2019),Communication Services,1 ~34056 tons,37709.219210586896,4.57644754020079,4 ~54241 tons per dollar,Y,Y,
101,shell oil company,Energy,6 ~84178136 tons,345258.32087723503,5.538144154064634,5 ~218440 tons per dollar,Y,Y,
102,Siemens,Industrials,4 ~2132511 tons,22721.42546360846,4.356435574026645,3 ~21168 tons per dollar,Y,Y,
103,sigma alimentos (2017-2018),Health Care,3 ~520047 tons,85384.40567954723,4.931378559848961,4 ~54241 tons per dollar,N,Y,
104,Sony Corporation,Information technology,4 ~2132511 tons,20089.188182206737,4.302962386966687,3 ~21168 tons per dollar,Y,Y,
105,stmicroelectronics,Information technology,4 ~2132511 tons,167995.13360667354,5.225296701497418,5 ~218440 tons per dollar,Y,Y,
106,Taiwan Semiconductor,Materials,5 ~10089589 tons,2279435.8348606257,6.3578273715069775,6 ~1942501 tons per dollar,Y,Y,
107,Texas Instruments,Information technology,4 ~2132511 tons,258590.603561998,5.41261273982003,5 ~218440 tons per dollar,Y,Y,
108,The Port Authority of NY & NJ (2016-2019),Industrials,5 ~10089589 tons,1630647.116590946,6.212359986853353,6 ~1942501 tons per dollar,Y,Y,
109,united technologies corporation (2016-2019),Industrials,4 ~2132511 tons,31680.58647610546,4.50079321272108,3 ~21168 tons per dollar,Y,Y,
110,UnitedHealth Group,Health Care,2 ~145504 tons,952.7127309380206,2.978961968659588,1 ~1924 tons per dollar,Y,Y,
111,university of california berkeley (2016-2018),Social Sector,2 ~145504 tons,30571.878805622757,4.485322129267195,3 ~21168 tons per dollar,Y,Y,
112,Veoneer (2019-2020),Consumer Discretionary,1 ~34056 tons,12504.782045577238,4.097076126516099,2 ~9318 tons per dollar,N,N,
113,Verizon,Communication Services,5 ~10089589 tons,61967.52080531606,4.792164121256847,4 ~54241 tons per dollar,Y,Y,
114,Visa,Financials,2 ~145504 tons,14336.809716853752,4.15645252117065,3 ~21168 tons per dollar,Y,Y,
115,Walmart,"Consumer Staples (Food, etc.)",5 ~10089589 tons,41792.85057002913,4.621101994130302,4 ~54241 tons per dollar,Y,Y,
116,Xilinx,Materials,1 ~34056 tons,14856.269069278744,4.171909756526338,3 ~21168 tons per dollar,Y,Y,
117,XPO Logistics (2018-2020),Consulting,4 ~2132511 tons,116442.58137029735,5.066111824578947,5 ~218440 tons per dollar,Y,Y,
118,Xylem,Utilities,2 ~145504 tons,20391.969243583186,4.309459167432172,3 ~21168 tons per dollar,Y,Y,
